IDENT;NOPOSTE;SEXE;AGE;DIPLOME;STATUT;CONTRAT;TEMPS;HEURES;MOTIF_ABS;SALAIRE_NET;PRIME;ANCIENNETE;SECTEUR;REGION
00315876;1;1;57;5;1;1;1;35;;3 878,78;4 065,62;13;BE;52
00317089;1;1;21;7;1;2;1;36;;2 983,96;323,34;4;GZ;76
00318009;1;1;53;5;3;8;1;60;;0,00;;-1;MN;11
00318009;2;1;53;5;3;8;2;53;;0,00;;-1;RU;11
00318225;1;2;57;5;1;1;1;48;1;3 120,81;352,04;4;OQ;28
00318523;1;1;40;7;1;1;1;25;;2 015,45;;14;OQ;52
00320518;1;1;57;4;1;1;1;29;;2 938,59;;4;RU;84
00320545;1;2;41;4;1;1;1;40;;3 566,39;;12;OQ;11
00320857;1;1;29;5;2;1;1;44;;3 035,10;447,06;1;OQ;84
00323040;1;2;36;1;2;1;1;36;;1 770,78;315,47;13;BE;11
00323040;2;2;36;1;2;2;2;29;2;1 279,16;;2;OQ;93
00323779;1;1;28;2;1;1;2;24;1;1 067,75;;0;RU;93
00326814;1;2;63;1;1;1;1;41;1;2 454,61;;25;OQ;93
00326814;2;2;63;1;1;1;2;27;;702,59;2 553,08;0;BE;53
00327330;1;1;61;5;1;1;1;30;;2 895,77;2 005,39;13;BE;11
00327706;1;2;61;5;1;1;2;25;;2 529,75;847,65;13;OQ;52
00327977;1;1;41;6;2;1;1;39;;7 150,07;;2;GZ;53
00328252;1;2;59;9;1;1;2;13;;1 016,76;249,43;11;OQ;76
00330395;1;2;44;3;2;1;1;26;;3 169,13;1 345,80;17;FZ;84
00331738;1;1;28;1;1;1;1;48;;1 867,87;;2;MN;44
00333441;1;1;57;3;1;1;1;45;;2 681,70;;0;OQ;84
00334203;1;1;26;3;1;1;1;38;;1 623,41;;7;JZ;75
00336734;1;1;15;1;2;1;1;38;;2 952,18;;0;GZ;84
00336734;2;1;15;1;2;1;2;21;;427,80;481,43;0;GZ;84
00337987;1;1;49;3;2;1;1;37;1;2 899,22;694,33;3;RU;11
00341204;1;2;55;7;1;1;1;38;;3 171,74;561,35;18;HZ;52
00347349;1;1;54;7;2;2;1;26;;2 317,09;;1;GZ;28
00347349;2;1;54;7;2;1;2;13;;2 967,04;999 999,00;5;GZ;27
00351810;1;1;23;7;2;1;1;35;;2 838,01;;3;GZ;76
00351810;2;1;23;7;2;1;2;23;;999 999,00;;7;OQ;84
00351964;1;2;30;3;1;1;1;43;;2 290,64;1 438,81;2;HZ;44
00353198;1;1;28;4;1;3;1;52;;2 000,63;;10;BE;11
00355563;1;2;20;5;1;1;1;43;;2 226,29;;3;FZ;84
00356679;1;1;32;7;1;1;1;34;1;3 986,29;;4;OQ;11
00356680;1;1;41;7;1;1;1;33;;999 999,00;519,12;2;FZ;11
00357164;1;2;53;9;1;2;1;39;;1 468,40;757,16;10;RU;84
00357968;1;1;44;2;3;8;1;60;;0,00;;-1;AZ;44
00358400;1;1;63;4;1;1;1;44;;2 028,32;718,51;0;BE;11
00358419;1;2;62;6;1;1;1;31;;1 996,07;;2;OQ;27
00361158;1;2;50;2;2;1;1;44;;2 932,24;833,42;11;GZ;44
00361366;1;1;58;5;2;1;1;38;;4 690,24;1 252,35;2;OQ;76
00361469;1;1;44;5;1;1;1;45;4;2 861,97;1 160,77;5;GZ;32
00361469;2;1;44;5;1;1;2;26;;1 990,52;602,62;9;GZ;76
00362001;1;2;20;7;2;1;2;30;1;2 398,91;;4;MN;32
00362286;1;2;63;3;2;1;2;28;;1 129,08;659,90;3;GZ;84
00363303;1;1;42;5;1;9;9;43;;8 154,52;;22;GZ;11
00364909;1;2;55;5;1;1;2;26;3;2 859,24;;5;GZ;44
00367262;1;1;26;3;1;1;1;33;;4 041,65;751,22;0;BE;11
00367568;1;1;45;3;1;1;1;33;;1 639,23;;2;AZ;53
00368947;1;1;57;4;1;1;1;37;;2 874,99;791,20;0;MN;75
00370677;1;2;50;3;1;3;1;30;;4 283,41;558,99;4;BE;84
00373310;1;1;41;7;1;1;2;26;;4 411,17;544,06;9;OQ;84
00375003;1;2;39;4;2;1;2;17;;1 302,15;;14;BE;84
00375967;1;1;25;3;2;1;1;45;;1 548,97;384,33;6;BE;27
00378466;1;2;52;3;2;1;1;29;;2 140,75;;6;HZ;11
00379996;1;1;43;3;1;1;1;60;99;3 053,76;;4;MN;24
00380822;1;2;24;6;1;2;1;34;;999 999,00;;6;RU;27
00381157;1;1;42;6;1;1;1;26;;2 475,35;485,12;2;BE;53
00381157;2;1;42;6;1;1;2;10;1;1 812,91;;1;OQ;52
00382528;1;2;31;5;1;1;1;33;;2 882,27;;8;OQ;11
00383462;1;1;49;3;1;1;1;41;;4 067,14;;32;OQ;93
00388835;1;2;49;3;2;1;1;40;;3 368,03;;19;OQ;52
00389459;1;1;26;7;3;8;1;60;;0,00;;-1;BE;52
00389703;1;2;61;1;1;1;1;47;;1 808,96;1 200,98;0;OQ;27
00390207;1;2;70;4;2;1;1;42;;2 912,69;1 753,74;5;OQ;52
00391302;1;2;48;3;2;1;1;51;;2 417,27;3 547,76;4;AZ;44
00392735;1;2;63;1;1;1;1;34;;2 177,04;;1;RU;76
00393508;1;1;31;5;3;8;1;60;;0,00;;-1;GZ;44
00394839;1;2;47;2;1;1;1;41;;2 163,50;2 560,06;4;OQ;52
00395671;1;2;35;6;1;1;1;36;;1 332,50;571,82;0;FZ;11
00395671;2;2;35;6;1;2;2;20;;1 754,79;1 092,69;0;BE;75
00397812;1;1;42;7;1;1;1;39;;2 107,30;;1;GZ;24
00397812;2;1;42;7;1;1;2;23;;1 873,24;673,87;2;BE;75
00398983;1;1;54;6;1;1;1;41;3;2 638,86;;5;RU;11
00399709;1;2;38;7;1;1;1;47;;5 085,73;;1;BE;93
00402892;1;2;21;9;1;3;1;37;;1 859,65;837,57;5;GZ;32
00403263;1;1;41;5;1;1;1;41;99;1 900,77;;6;MN;76
00407499;1;1;43;3;2;1;1;36;;3 770,90;897,63;26;OQ;76
00407796;1;1;34;1;1;1;1;38;;1 683,31;;1;BE;76
00408959;1;2;44;6;2;2;1;33;;2 285,51;413,87;2;OQ;11
00409328;1;2;26;3;1;1;1;99;;1 908,04;;5;JZ;52
00412681;1;1;33;7;1;2;1;40;;3 890,39;;13;BE;11
00413179;1;2;64;3;3;8;1;60;;0,00;;-1;FZ;11
00413950;1;1;33;6;2;1;1;39;3;3 428,31;1 280,65;5;OQ;84
00414600;1;1;30;2;2;1;1;34;;1 317,25;804,03;6;FZ;11
00414791;1;1;59;5;1;1;1;37;;4 160,46;1 038,54;16;MN;53
00418160;1;2;49;3;1;2;1;52;;2 289,36;;8;OQ;84
00418160;2;2;49;3;1;1;2;26;;2 820,33;153,50;12;MN;76
00418705;1;1;43;2;1;1;9;48;;1 869,04;;18;BE;32
